epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42449.3,1.22002,0.90433,1.05953,0.48325,0.92896,0.52882,0.31126,1.47764,1.01841,1.20234,0.005842,0.005842,0.005842
44,43315,1.22333,0.90477,1.05745,0.48511,0.93536,0.53279,0.32904,1.38652,1.00353,1.16671,0.005743,0.005743,0.005743
45,44369.4,1.20923,0.89964,1.05422,0.4824,0.94103,0.53356,0.32984,1.38249,0.9931,1.17389,0.005644,0.005644,0.005644
46,45250.6,1.19652,0.88725,1.04971,0.48186,0.93275,0.52577,0.32679,1.38683,1.01428,1.17834,0.005545,0.005545,0.005545
47,46359.3,1.17078,0.87616,1.03845,0.48581,0.94547,0.53074,0.3422,1.30528,0.9922,1.14764,0.005446,0.005446,0.005446
48,47229,1.17871,0.87651,1.04196,0.49011,0.9368,0.53485,0.33348,1.36133,0.98997,1.15721,0.005347,0.005347,0.005347
49,48227.5,1.168,0.86526,1.03663,0.48732,0.9389,0.53216,0.32442,1.40181,0.99293,1.17112,0.005248,0.005248,0.005248
50,49041.8,1.17202,0.87398,1.0398,0.48455,0.93345,0.53175,0.33986,1.33394,0.98604,1.15358,0.005149,0.005149,0.005149
51,50108.8,1.14866,0.86262,1.03566,0.49063,0.91903,0.52758,0.32871,1.3685,0.99172,1.16268,0.00505,0.00505,0.00505
52,50940.7,1.1428,0.85672,1.03322,0.48834,0.92893,0.53515,0.33679,1.34313,0.98043,1.15185,0.004951,0.004951,0.004951
53,51996.5,1.13169,0.83845,1.02308,0.48612,0.93191,0.53232,0.32925,1.37455,0.99667,1.16509,0.004852,0.004852,0.004852
54,52860.8,1.12534,0.84136,1.02331,0.49247,0.93272,0.53383,0.33504,1.34749,0.98004,1.15535,0.004753,0.004753,0.004753
55,53962.5,1.12292,0.83914,1.02117,0.49275,0.94057,0.53646,0.34237,1.31264,0.97189,1.14002,0.004654,0.004654,0.004654
56,54885.1,1.11886,0.84097,1.01968,0.49409,0.95014,0.53167,0.33372,1.3422,0.98459,1.14988,0.004555,0.004555,0.004555
57,55988.8,1.10986,0.82558,1.0194,0.48929,0.93361,0.5271,0.33898,1.30122,0.98644,1.13615,0.004456,0.004456,0.004456
58,56842.5,1.10283,0.82885,1.013,0.49454,0.9355,0.52984,0.34002,1.30242,0.98593,1.13639,0.004357,0.004357,0.004357
59,57936.8,1.09651,0.82571,1.01493,0.48938,0.93641,0.53067,0.3383,1.31024,0.97841,1.14157,0.004258,0.004258,0.004258
60,58738.5,1.08466,0.81031,1.00879,0.49128,0.92249,0.52457,0.33062,1.33929,0.98176,1.1483,0.004159,0.004159,0.004159
61,59987.5,1.07766,0.81068,1.00244,0.4881,0.94259,0.52596,0.33423,1.32267,0.97773,1.14079,0.00406,0.00406,0.00406
62,60906.5,1.07385,0.80999,1.00795,0.49192,0.93132,0.5306,0.33487,1.33525,0.98147,1.1427,0.003961,0.003961,0.003961
63,62048.2,1.06277,0.79912,0.99827,0.49094,0.93646,0.52766,0.33273,1.33963,0.98795,1.14392,0.003862,0.003862,0.003862
64,62959.4,1.05889,0.79129,1.00015,0.48639,0.93553,0.52152,0.32993,1.35673,0.99014,1.15443,0.003763,0.003763,0.003763
65,64019.5,1.04792,0.78853,0.99179,0.49264,0.93394,0.52888,0.33471,1.33038,0.97783,1.14723,0.003664,0.003664,0.003664
66,65021.4,1.05086,0.78807,0.99283,0.49519,0.93632,0.53192,0.33577,1.34006,0.97207,1.14991,0.003565,0.003565,0.003565
67,66189.9,1.03821,0.7881,0.99404,0.49561,0.93983,0.52978,0.33682,1.31789,0.96751,1.14282,0.003466,0.003466,0.003466
68,67082.6,1.02188,0.77585,0.98702,0.49267,0.93695,0.52684,0.33774,1.31031,0.96959,1.13852,0.003367,0.003367,0.003367
69,68120.6,1.02367,0.77349,0.98347,0.49296,0.94198,0.52748,0.34482,1.26617,0.9587,1.12395,0.003268,0.003268,0.003268
70,68960.4,1.0268,0.77557,0.98565,0.4897,0.93109,0.52753,0.33995,1.3016,0.9733,1.13236,0.003169,0.003169,0.003169
71,70046.2,1.00421,0.76718,0.97902,0.49078,0.92792,0.52798,0.33854,1.31752,0.98213,1.13681,0.00307,0.00307,0.00307
72,70885,0.99706,0.75906,0.9756,0.4954,0.92927,0.53092,0.34279,1.29532,0.9777,1.13078,0.002971,0.002971,0.002971
73,71894.1,0.9936,0.76198,0.97442,0.49236,0.93399,0.53016,0.34109,1.29637,0.98033,1.13196,0.002872,0.002872,0.002872
74,72691,0.98564,0.75092,0.96922,0.49214,0.93769,0.52951,0.34268,1.27795,0.97728,1.12519,0.002773,0.002773,0.002773
75,73801.1,0.97883,0.74898,0.96541,0.49171,0.9399,0.52797,0.33934,1.29747,0.97502,1.13541,0.002674,0.002674,0.002674
76,74856,0.97678,0.74471,0.97157,0.48805,0.93948,0.52342,0.33829,1.29393,0.98346,1.13612,0.002575,0.002575,0.002575
77,75894.9,0.96918,0.73968,0.96525,0.48949,0.945,0.52567,0.34014,1.29845,0.97888,1.13601,0.002476,0.002476,0.002476
78,76717.9,0.96426,0.74225,0.96555,0.49151,0.94384,0.52519,0.33897,1.30023,0.97828,1.13454,0.002377,0.002377,0.002377
79,77921.7,0.94788,0.73409,0.95802,0.49115,0.93985,0.52743,0.34003,1.29564,0.9789,1.13165,0.002278,0.002278,0.002278
80,78794.2,0.94322,0.73784,0.95836,0.4916,0.9394,0.52576,0.34098,1.28549,0.97954,1.12708,0.002179,0.002179,0.002179
81,79951.1,0.93017,0.72941,0.95224,0.49184,0.93407,0.52519,0.33997,1.29091,0.98236,1.12835,0.00208,0.00208,0.00208
82,80851.9,0.92051,0.7212,0.94917,0.49416,0.93334,0.5262,0.34069,1.29832,0.98835,1.13112,0.001981,0.001981,0.001981
83,82009.5,0.93168,0.72327,0.954,0.49371,0.93479,0.5254,0.34169,1.28723,0.98693,1.12809,0.001882,0.001882,0.001882
84,83552.6,0.91532,0.70832,0.94602,0.49384,0.93533,0.52547,0.3406,1.28772,0.99292,1.12931,0.001783,0.001783,0.001783
